X,Y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.19438297
17,0.19438297
18,0.19438297
19,0.19438297
20,0.19438297
21,0.19438297
22,0.19438297
23,0.19438297
24,0.19438297
25,0.19438297
26,0.19438297
27,0.19438297
28,0.19438297
29,0.19438297
30,0.19438297
31,0.19438297
32,0.31862852
33,0.31862852
34,0.31862852
35,0.31862852
36,0.31862852
37,0.31862852
38,0.31862852
39,0.31862852
40,0.31862852
41,0.31862852
42,0.31862852
43,0.31862852
44,0.31862852
45,0.31862852
46,0.31862852
47,0.31862852
48,0.29130098
49,0.29130098
50,0.29130098
51,0.29130098
52,0.29130098
53,0.29130098
54,0.29130098
55,0.29130098
56,0.29130098
57,0.29130098
58,0.29130098
59,0.29130098
60,0.29130098
61,0.29130098
62,0.29130098
63,0.29130098
64,0.19602957
65,0.19602957
66,0.19602957
67,0.19602957
68,0.19602957
69,0.19602957
70,0.19602957
71,0.19602957
72,0.19602957
73,0.19602957
74,0.19602957
75,0.19602957
76,0.19602957
77,0.19602957
78,0.19602957
79,0.19602957
80,0.106356695
81,0.106356695
82,0.106356695
83,0.106356695
84,0.106356695
85,0.106356695
86,0.106356695
87,0.106356695
88,0.106356695
89,0.106356695
90,0.106356695
91,0.106356695
92,0.106356695
93,0.106356695
94,0.106356695
95,0.106356695
96,0.07833502
97,0.07833502
98,0.07833502
99,0.07833502
100,0.07833502
101,0.07833502
102,0.07833502
103,0.07833502
104,0.07833502
105,0.07833502
106,0.07833502
107,0.07833502
108,0.07833502
109,0.07833502
110,0.07833502
111,0.07833502
112,0.1466714
113,0.1466714
114,0.1466714
115,0.1466714
116,0.1466714
117,0.1466714
118,0.1466714
119,0.1466714
120,0.1466714
121,0.1466714
122,0.1466714
123,0.1466714
124,0.1466714
125,0.1466714
126,0.1466714
127,0.1466714
128,0.19729787
129,0.19729787
130,0.19729787
131,0.19729787
132,0.19729787
133,0.19729787
134,0.19729787
135,0.19729787
136,0.19729787
137,0.19729787
138,0.19729787
139,0.19729787
140,0.19729787
141,0.19729787
142,0.19729787
143,0.19729787
144,0.21355401
145,0.21355401
146,0.21355401
147,0.21355401
148,0.21355401
149,0.21355401
150,0.21355401
151,0.21355401
152,0.21355401
153,0.21355401
154,0.21355401
155,0.21355401
156,0.21355401
157,0.21355401
158,0.21355401
159,0.21355401
160,0.19107215
161,0.19107215
162,0.19107215
163,0.19107215
164,0.19107215
165,0.19107215
166,0.19107215
167,0.19107215
168,0.19107215
169,0.19107215
170,0.19107215
171,0.19107215
172,0.19107215
173,0.19107215
174,0.19107215
175,0.19107215
176,0.13648573
177,0.13648573
178,0.13648573
179,0.13648573
180,0.13648573
181,0.13648573
182,0.13648573
183,0.13648573
184,0.13648573
185,0.13648573
186,0.13648573
187,0.13648573
188,0.13648573
189,0.13648573
190,0.13648573
191,0.13648573
192,0.1118875
193,0.1118875
194,0.1118875
195,0.1118875
196,0.1118875
197,0.1118875
198,0.1118875
199,0.1118875
200,0.1118875
201,0.1118875
202,0.1118875
203,0.1118875
204,0.1118875
205,0.1118875
206,0.1118875
207,0.1118875
208,0.11979734
209,0.11979734
210,0.11979734
211,0.11979734
212,0.11979734
213,0.11979734
214,0.11979734
215,0.11979734
216,0.11979734
217,0.11979734
218,0.11979734
219,0.11979734
220,0.11979734
221,0.11979734
222,0.11979734
223,0.11979734
224,0.14298129
225,0.14298129
226,0.14298129
227,0.14298129
228,0.14298129
229,0.14298129
230,0.14298129
231,0.14298129
232,0.14298129
233,0.14298129
234,0.14298129
235,0.14298129
236,0.14298129
237,0.14298129
238,0.14298129
239,0.14298129
240,0.12700008
241,0.12700008
242,0.12700008
243,0.12700008
244,0.12700008
245,0.12700008
246,0.12700008
247,0.12700008
248,0.12700008
249,0.12700008
250,0.12700008
251,0.12700008
252,0.12700008
253,0.12700008
254,0.12700008
255,0.12700008
256,0.109239615
257,0.109239615
258,0.109239615
259,0.109239615
260,0.109239615
261,0.109239615
262,0.109239615
263,0.109239615
264,0.109239615
265,0.109239615
266,0.109239615
267,0.109239615
268,0.109239615
269,0.109239615
270,0.109239615
271,0.109239615
272,0.11579392
273,0.11579392
274,0.11579392
275,0.11579392
276,0.11579392
277,0.11579392
278,0.11579392
279,0.11579392
280,0.11579392
281,0.11579392
282,0.11579392
283,0.11579392
284,0.11579392
285,0.11579392
286,0.11579392
287,0.11579392
288,0.13940941
289,0.13940941
290,0.13940941
291,0.13940941
292,0.13940941
293,0.13940941
294,0.13940941
295,0.13940941
296,0.13940941
297,0.13940941
298,0.13940941
299,0.13940941
300,0.13940941
301,0.13940941
302,0.13940941
303,0.13940941
304,0.15267105
305,0.15267105
306,0.15267105
307,0.15267105
308,0.15267105
309,0.15267105
310,0.15267105
311,0.15267105
312,0.15267105
313,0.15267105
314,0.15267105
315,0.15267105
316,0.15267105
317,0.15267105
318,0.15267105
319,0.15267105
320,0.18976675
321,0.18976675
322,0.18976675
323,0.18976675
324,0.18976675
325,0.18976675
326,0.18976675
327,0.18976675
328,0.18976675
329,0.18976675
330,0.18976675
331,0.18976675
332,0.18976675
333,0.18976675
334,0.18976675
335,0.18976675
336,0.2338941
337,0.2338941
338,0.2338941
339,0.2338941
340,0.2338941
341,0.2338941
342,0.2338941
343,0.2338941
344,0.2338941
345,0.2338941
346,0.2338941
347,0.2338941
348,0.2338941
349,0.2338941
350,0.2338941
351,0.2338941
352,0.32699
353,0.32699
354,0.32699
355,0.32699
356,0.32699
357,0.32699
358,0.32699
359,0.32699
360,0.32699
361,0.32699
362,0.32699
363,0.32699
364,0.32699
365,0.32699
366,0.32699
367,0.32699
368,0.48731023
369,0.48731023
370,0.48731023
371,0.48731023
372,0.48731023
373,0.48731023
374,0.48731023
375,0.48731023
376,0.48731023
377,0.48731023
378,0.48731023
379,0.48731023
380,0.48731023
381,0.48731023
382,0.48731023
383,0.48731023
384,0.7309039
385,0.7309039
386,0.7309039
387,0.7309039
388,0.7309039
389,0.7309039
390,0.7309039
391,0.7309039
392,0.7309039
393,0.7309039
394,0.7309039
395,0.7309039
396,0.7309039
397,0.7309039
398,0.7309039
399,0.7309039
400,0.8721682
401,0.8721682
402,0.8721682
403,0.8721682
404,0.8721682
405,0.8721682
406,0.8721682
407,0.8721682
408,0.8721682
409,0.8721682
410,0.8721682
411,0.8721682
412,0.8721682
413,0.8721682
414,0.8721682
415,0.8721682
416,0.97259986
417,0.97259986
418,0.97259986
419,0.97259986
420,0.97259986
421,0.97259986
422,0.97259986
423,0.97259986
424,0.97259986
425,0.97259986
426,0.97259986
427,0.97259986
428,0.97259986
429,0.97259986
430,0.97259986
431,0.97259986
432,1.0
433,1.0
434,1.0
435,1.0
