X,Y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.22298874
17,0.22298874
18,0.22298874
19,0.22298874
20,0.22298874
21,0.22298874
22,0.22298874
23,0.22298874
24,0.22298874
25,0.22298874
26,0.22298874
27,0.22298874
28,0.22298874
29,0.22298874
30,0.22298874
31,0.22298874
32,0.2649838
33,0.2649838
34,0.2649838
35,0.2649838
36,0.2649838
37,0.2649838
38,0.2649838
39,0.2649838
40,0.2649838
41,0.2649838
42,0.2649838
43,0.2649838
44,0.2649838
45,0.2649838
46,0.2649838
47,0.2649838
48,0.21554744
49,0.21554744
50,0.21554744
51,0.21554744
52,0.21554744
53,0.21554744
54,0.21554744
55,0.21554744
56,0.21554744
57,0.21554744
58,0.21554744
59,0.21554744
60,0.21554744
61,0.21554744
62,0.21554744
63,0.21554744
64,0.25301272
65,0.25301272
66,0.25301272
67,0.25301272
68,0.25301272
69,0.25301272
70,0.25301272
71,0.25301272
72,0.25301272
73,0.25301272
74,0.25301272
75,0.25301272
76,0.25301272
77,0.25301272
78,0.25301272
79,0.25301272
80,0.2870636
81,0.2870636
82,0.2870636
83,0.2870636
84,0.2870636
85,0.2870636
86,0.2870636
87,0.2870636
88,0.2870636
89,0.2870636
90,0.2870636
91,0.2870636
92,0.2870636
93,0.2870636
94,0.2870636
95,0.2870636
96,0.33671397
97,0.33671397
98,0.33671397
99,0.33671397
100,0.33671397
101,0.33671397
102,0.33671397
103,0.33671397
104,0.33671397
105,0.33671397
106,0.33671397
107,0.33671397
108,0.33671397
109,0.33671397
110,0.33671397
111,0.33671397
112,0.3706029
113,0.3706029
114,0.3706029
115,0.3706029
116,0.3706029
117,0.3706029
118,0.3706029
119,0.3706029
120,0.3706029
121,0.3706029
122,0.3706029
123,0.3706029
124,0.3706029
125,0.3706029
126,0.3706029
127,0.3706029
128,0.3781053
129,0.3781053
130,0.3781053
131,0.3781053
132,0.3781053
133,0.3781053
134,0.3781053
135,0.3781053
136,0.3781053
137,0.3781053
138,0.3781053
139,0.3781053
140,0.3781053
141,0.3781053
142,0.3781053
143,0.3781053
144,0.35442775
145,0.35442775
146,0.35442775
147,0.35442775
148,0.35442775
149,0.35442775
150,0.35442775
151,0.35442775
152,0.35442775
153,0.35442775
154,0.35442775
155,0.35442775
156,0.35442775
157,0.35442775
158,0.35442775
159,0.35442775
160,0.32593712
161,0.32593712
162,0.32593712
163,0.32593712
164,0.32593712
165,0.32593712
166,0.32593712
167,0.32593712
168,0.32593712
169,0.32593712
170,0.32593712
171,0.32593712
172,0.32593712
173,0.32593712
174,0.32593712
175,0.32593712
176,0.34021857
177,0.34021857
178,0.34021857
179,0.34021857
180,0.34021857
181,0.34021857
182,0.34021857
183,0.34021857
184,0.34021857
185,0.34021857
186,0.34021857
187,0.34021857
188,0.34021857
189,0.34021857
190,0.34021857
191,0.34021857
192,0.35632157
193,0.35632157
194,0.35632157
195,0.35632157
196,0.35632157
197,0.35632157
198,0.35632157
199,0.35632157
200,0.35632157
201,0.35632157
202,0.35632157
203,0.35632157
204,0.35632157
205,0.35632157
206,0.35632157
207,0.35632157
208,0.4452808
209,0.4452808
210,0.4452808
211,0.4452808
212,0.4452808
213,0.4452808
214,0.4452808
215,0.4452808
216,0.4452808
217,0.4452808
218,0.4452808
219,0.4452808
220,0.4452808
221,0.4452808
222,0.4452808
223,0.4452808
224,0.54926604
225,0.54926604
226,0.54926604
227,0.54926604
228,0.54926604
229,0.54926604
230,0.54926604
231,0.54926604
232,0.54926604
233,0.54926604
234,0.54926604
235,0.54926604
236,0.54926604
237,0.54926604
238,0.54926604
239,0.54926604
240,0.6204041
241,0.6204041
242,0.6204041
243,0.6204041
244,0.6204041
245,0.6204041
246,0.6204041
247,0.6204041
248,0.6204041
249,0.6204041
250,0.6204041
251,0.6204041
252,0.6204041
253,0.6204041
254,0.6204041
255,0.6204041
256,0.7735673
257,0.7735673
258,0.7735673
259,0.7735673
260,0.7735673
261,0.7735673
262,0.7735673
263,0.7735673
264,0.7735673
265,0.7735673
266,0.7735673
267,0.7735673
268,0.7735673
269,0.7735673
270,0.7735673
271,0.7735673
272,0.7839569
273,0.7839569
274,0.7839569
275,0.7839569
276,0.7839569
277,0.7839569
278,0.7839569
279,0.7839569
280,0.7839569
281,0.7839569
282,0.7839569
283,0.7839569
284,0.7839569
285,0.7839569
286,0.7839569
287,0.7839569
288,0.8988285
289,0.8988285
290,0.8988285
291,0.8988285
292,0.8988285
293,0.8988285
294,0.8988285
295,0.8988285
296,0.8988285
297,0.8988285
298,0.8988285
299,0.8988285
300,0.8988285
301,0.8988285
302,0.8988285
303,0.8988285
304,0.9955884
305,0.9955884
306,0.9955884
307,0.9955884
308,0.9955884
309,0.9955884
310,0.9955884
311,0.9955884
312,0.9955884
313,0.9955884
314,0.9955884
315,0.9955884
316,0.9955884
317,0.9955884
318,0.9955884
319,0.9955884
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,0.9695324
337,0.9695324
338,0.9695324
339,0.9695324
340,0.9695324
341,0.9695324
342,0.9695324
343,0.9695324
344,0.9695324
345,0.9695324
346,0.9695324
347,0.9695324
348,0.9695324
349,0.9695324
350,0.9695324
351,0.9695324
352,0.8557937
353,0.8557937
354,0.8557937
355,0.8557937
356,0.8557937
357,0.8557937
358,0.8557937
359,0.8557937
360,0.8557937
361,0.8557937
362,0.8557937
363,0.8557937
364,0.8557937
365,0.8557937
366,0.8557937
367,0.8557937
368,0.6883002
369,0.6883002
370,0.6883002
371,0.6883002
372,0.6883002
373,0.6883002
374,0.6883002
375,0.6883002
376,0.6883002
377,0.6883002
378,0.6883002
379,0.6883002
380,0.6883002
381,0.6883002
382,0.6883002
383,0.6883002
384,0.55944556
385,0.55944556
386,0.55944556
387,0.55944556
388,0.55944556
389,0.55944556
390,0.55944556
391,0.55944556
392,0.55944556
393,0.55944556
394,0.55944556
395,0.55944556
396,0.55944556
397,0.55944556
398,0.55944556
399,0.55944556
400,0.50495416
401,0.50495416
402,0.50495416
403,0.50495416
404,0.50495416
405,0.50495416
406,0.50495416
407,0.50495416
408,0.50495416
409,0.50495416
410,0.50495416
411,0.50495416
412,0.50495416
413,0.50495416
414,0.50495416
415,0.50495416
416,0.48440504
417,0.48440504
418,0.48440504
419,0.48440504
420,0.48440504
421,0.48440504
422,0.48440504
423,0.48440504
424,0.48440504
425,0.48440504
426,0.48440504
427,0.48440504
428,0.48440504
429,0.48440504
430,0.48440504
431,0.48440504
432,0.4563716
433,0.4563716
434,0.4563716
435,0.4563716
436,0.4563716
