X,Y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.2313249
17,0.2313249
18,0.2313249
19,0.2313249
20,0.2313249
21,0.2313249
22,0.2313249
23,0.2313249
24,0.2313249
25,0.2313249
26,0.2313249
27,0.2313249
28,0.2313249
29,0.2313249
30,0.2313249
31,0.2313249
32,0.2815484
33,0.2815484
34,0.2815484
35,0.2815484
36,0.2815484
37,0.2815484
38,0.2815484
39,0.2815484
40,0.2815484
41,0.2815484
42,0.2815484
43,0.2815484
44,0.2815484
45,0.2815484
46,0.2815484
47,0.2815484
48,0.2690535
49,0.2690535
50,0.2690535
51,0.2690535
52,0.2690535
53,0.2690535
54,0.2690535
55,0.2690535
56,0.2690535
57,0.2690535
58,0.2690535
59,0.2690535
60,0.2690535
61,0.2690535
62,0.2690535
63,0.2690535
64,0.27558064
65,0.27558064
66,0.27558064
67,0.27558064
68,0.27558064
69,0.27558064
70,0.27558064
71,0.27558064
72,0.27558064
73,0.27558064
74,0.27558064
75,0.27558064
76,0.27558064
77,0.27558064
78,0.27558064
79,0.27558064
80,0.26222467
81,0.26222467
82,0.26222467
83,0.26222467
84,0.26222467
85,0.26222467
86,0.26222467
87,0.26222467
88,0.26222467
89,0.26222467
90,0.26222467
91,0.26222467
92,0.26222467
93,0.26222467
94,0.26222467
95,0.26222467
96,0.27030966
97,0.27030966
98,0.27030966
99,0.27030966
100,0.27030966
101,0.27030966
102,0.27030966
103,0.27030966
104,0.27030966
105,0.27030966
106,0.27030966
107,0.27030966
108,0.27030966
109,0.27030966
110,0.27030966
111,0.27030966
112,0.2621019
113,0.2621019
114,0.2621019
115,0.2621019
116,0.2621019
117,0.2621019
118,0.2621019
119,0.2621019
120,0.2621019
121,0.2621019
122,0.2621019
123,0.2621019
124,0.2621019
125,0.2621019
126,0.2621019
127,0.2621019
128,0.24411093
129,0.24411093
130,0.24411093
131,0.24411093
132,0.24411093
133,0.24411093
134,0.24411093
135,0.24411093
136,0.24411093
137,0.24411093
138,0.24411093
139,0.24411093
140,0.24411093
141,0.24411093
142,0.24411093
143,0.24411093
144,0.2608987
145,0.2608987
146,0.2608987
147,0.2608987
148,0.2608987
149,0.2608987
150,0.2608987
151,0.2608987
152,0.2608987
153,0.2608987
154,0.2608987
155,0.2608987
156,0.2608987
157,0.2608987
158,0.2608987
159,0.2608987
160,0.35651606
161,0.35651606
162,0.35651606
163,0.35651606
164,0.35651606
165,0.35651606
166,0.35651606
167,0.35651606
168,0.35651606
169,0.35651606
170,0.35651606
171,0.35651606
172,0.35651606
173,0.35651606
174,0.35651606
175,0.35651606
176,0.56518143
177,0.56518143
178,0.56518143
179,0.56518143
180,0.56518143
181,0.56518143
182,0.56518143
183,0.56518143
184,0.56518143
185,0.56518143
186,0.56518143
187,0.56518143
188,0.56518143
189,0.56518143
190,0.56518143
191,0.56518143
192,0.8697209
193,0.8697209
194,0.8697209
195,0.8697209
196,0.8697209
197,0.8697209
198,0.8697209
199,0.8697209
200,0.8697209
201,0.8697209
202,0.8697209
203,0.8697209
204,0.8697209
205,0.8697209
206,0.8697209
207,0.8697209
208,0.941239
209,0.941239
210,0.941239
211,0.941239
212,0.941239
213,0.941239
214,0.941239
215,0.941239
216,0.941239
217,0.941239
218,0.941239
219,0.941239
220,0.941239
221,0.941239
222,0.941239
223,0.941239
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,0.8317619
241,0.8317619
242,0.8317619
243,0.8317619
244,0.8317619
245,0.8317619
246,0.8317619
247,0.8317619
248,0.8317619
249,0.8317619
250,0.8317619
251,0.8317619
252,0.8317619
253,0.8317619
254,0.8317619
255,0.8317619
256,0.7131912
257,0.7131912
258,0.7131912
259,0.7131912
260,0.7131912
261,0.7131912
262,0.7131912
263,0.7131912
264,0.7131912
265,0.7131912
266,0.7131912
267,0.7131912
268,0.7131912
269,0.7131912
270,0.7131912
271,0.7131912
272,0.59979856
273,0.59979856
274,0.59979856
275,0.59979856
276,0.59979856
277,0.59979856
278,0.59979856
279,0.59979856
280,0.59979856
281,0.59979856
282,0.59979856
283,0.59979856
284,0.59979856
285,0.59979856
286,0.59979856
287,0.59979856
288,0.5798195
289,0.5798195
290,0.5798195
291,0.5798195
292,0.5798195
293,0.5798195
294,0.5798195
295,0.5798195
296,0.5798195
297,0.5798195
298,0.5798195
299,0.5798195
300,0.5798195
301,0.5798195
302,0.5798195
303,0.5798195
304,0.5375303
305,0.5375303
306,0.5375303
307,0.5375303
308,0.5375303
309,0.5375303
310,0.5375303
311,0.5375303
312,0.5375303
313,0.5375303
314,0.5375303
315,0.5375303
316,0.5375303
317,0.5375303
318,0.5375303
319,0.5375303
320,0.5056916
321,0.5056916
322,0.5056916
323,0.5056916
324,0.5056916
325,0.5056916
326,0.5056916
327,0.5056916
328,0.5056916
329,0.5056916
330,0.5056916
331,0.5056916
332,0.5056916
333,0.5056916
334,0.5056916
335,0.5056916
336,0.43492493
337,0.43492493
338,0.43492493
339,0.43492493
340,0.43492493
341,0.43492493
342,0.43492493
343,0.43492493
344,0.43492493
345,0.43492493
346,0.43492493
347,0.43492493
348,0.43492493
349,0.43492493
350,0.43492493
351,0.43492493
352,0.41431814
353,0.41431814
354,0.41431814
355,0.41431814
356,0.41431814
357,0.41431814
358,0.41431814
359,0.41431814
360,0.41431814
361,0.41431814
362,0.41431814
363,0.41431814
364,0.41431814
365,0.41431814
366,0.41431814
367,0.41431814
368,0.42308697
369,0.42308697
370,0.42308697
371,0.42308697
372,0.42308697
373,0.42308697
374,0.42308697
375,0.42308697
376,0.42308697
377,0.42308697
378,0.42308697
379,0.42308697
380,0.42308697
381,0.42308697
382,0.42308697
383,0.42308697
384,0.47139236
385,0.47139236
386,0.47139236
387,0.47139236
388,0.47139236
389,0.47139236
390,0.47139236
391,0.47139236
392,0.47139236
393,0.47139236
394,0.47139236
395,0.47139236
396,0.47139236
397,0.47139236
398,0.47139236
399,0.47139236
400,0.5032989
401,0.5032989
402,0.5032989
403,0.5032989
404,0.5032989
405,0.5032989
406,0.5032989
407,0.5032989
408,0.5032989
409,0.5032989
410,0.5032989
411,0.5032989
412,0.5032989
413,0.5032989
414,0.5032989
415,0.5032989
416,0.4323347
417,0.4323347
418,0.4323347
419,0.4323347
420,0.4323347
421,0.4323347
422,0.4323347
423,0.4323347
424,0.4323347
425,0.4323347
426,0.4323347
427,0.4323347
428,0.4323347
429,0.4323347
430,0.4323347
431,0.4323347
432,0.34790477
433,0.34790477
434,0.34790477
435,0.34790477
436,0.34790477
437,0.34790477
438,0.34790477
